SEASON,WINNER,CAPTAIN(S),COACH,RUNNER-UP,CAPTAIN(S),COACH
1969-70,Boston Bruins,No Captain,Harry Sinden,St. Louis Blues,Al Arbour,Scotty Bowman
1968-69,Montréal Canadiens,Jean Beliveau,Claude Ruel,St. Louis Blues,Al Arbour,Scotty Bowman
1967-68,Montréal Canadiens,Jean Beliveau,Toe Blake,St. Louis Blues,Al Arbour,Scotty Bowman
1966-67,Toronto Maple Leafs,George Armstrong,Punch Imlach,Montréal Canadiens,Jean Beliveau,Toe Blake
1965-66,Montréal Canadiens,Jean Beliveau,Toe Blake,Detroit Red Wings,Alex Delvecchio,Sid Abel
1964-65,Montréal Canadiens,Jean Beliveau,Toe Blake,Chicago Blackhawks,Pierre Pilote,Billy Reay
1963-64,Toronto Maple Leafs,George Armstrong,Punch Imlach,Detroit Red Wings,Alex Delvecchio,Sid Abel
1962-63,Toronto Maple Leafs,George Armstrong,Punch Imlach,Detroit Red Wings,Alex Delvecchio,Sid Abel
1961-62,Toronto Maple Leafs,George Armstrong,Punch Imlach,Chicago Blackhawks,Pierre Pilote,Rudy Pilous
1960-61,Chicago Blackhawks,Ed Litzenberger,Rudy Pilous,Detroit Red Wings,Gordie Howe,Sid Abel
1959-60,Montréal Canadiens,Maurice Richard,Toe Blake,Toronto Maple Leafs,George Armstrong,Punch Imlach
1958-59,Montréal Canadiens,Maurice Richard,Toe Blake,Toronto Maple Leafs,George Armstrong,Punch Imlach
1957-58,Montréal Canadiens,Maurice Richard,Toe Blake,Boston Bruins,Fern Flaman,Milt Schmidt
1956-57,Montréal Canadiens,Maurice Richard,Toe Blake,Boston Bruins,Fern Flaman,Milt Schmidt
1955-56,Montréal Canadiens,Butch Bouchard,Toe Blake,Detroit Red Wings,Ted Lindsay,Jimmy Skinner
1954-55,Detroit Red Wings,Ted Lindsay,Jimmy Skinner,Montréal Canadiens,Butch Bouchard,Dick Irvin
1953-54,Detroit Red Wings,Ted Lindsay,Tommy Ivan,Montréal Canadiens,Butch Bouchard,Dick Irvin
1952-53,Montréal Canadiens,Butch Bouchard,Dick Irvin,Boston Bruins,Milt Schmidt,Lynn Patrick
1951-52,Detroit Red Wings,Sid Abel,Tommy Ivan,Montréal Canadiens,Butch Bouchard,Dick Irvin
1950-51,Toronto Maple Leafs,Ted Kennedy,Joe Primeau,Montréal Canadiens,Butch Bouchard,Dick Irvin
1949-50,Detroit Red Wings,Sid Abel,Tommy Ivan,New York Rangers,Buddy O'Connor,Lynn Patrick
1948-49,Toronto Maple Leafs,Ted Kennedy,Hap Day,Detroit Red Wings,Sid Abel,Tommy Ivan
1947-48,Toronto Maple Leafs,Syl Apps,Hap Day,Detroit Red Wings,Sid Abel,Tommy Ivan
1946-47,Toronto Maple Leafs,Syl Apps,Hap Day,Montréal Canadiens,Toe Blake,Dick Irvin
1945-46,Montréal Canadiens,Toe Blake,Dick Irvin,Boston Bruins,Dit Clapper,Dit Clapper
1944-45,Toronto Maple Leafs,Bob Davidson,Hap Day,Detroit Red Wings,Flash Hollett,Jack Adams
1943-44,Montréal Canadiens,Toe Blake,Dick Irvin,Chicago Blackhawks,Doug Bentley,Paul Thompson
1942-43,Detroit Red Wings,Sid Abel,Jack Adams,Boston Bruins,Dit Clapper,Art Ross
1941-42,Toronto Maple Leafs,Syl Apps,Hap Day,Detroit Red Wings,"Ebbie Goodfellow
Syd Howe",Jack Adams
1940-41,Boston Bruins,Dit Clapper,Cooney Weiland,Detroit Red Wings,Ebbie Goodfellow,Jack Adams
1939-40,New York Rangers,Art Coulter,Frank Boucher,Toronto Maple Leafs,Red Horner,Dick Irvin
1938-39,Boston Bruins,Cooney Weiland,Art Ross,Toronto Maple Leafs,Red Horner,Dick Irvin
1937-38,Chicago Blackhawks,Johnny Gottselig,Bill Stewart,Toronto Maple Leafs,Charlie Conacher,Dick Irvin
1936-37,Detroit Red Wings,Doug Young,Jack Adams,New York Rangers,Bill Cook,Lester Patrick
1935-36,Detroit Red Wings,Doug Young,Jack Adams,Toronto Maple Leafs,Hap Day,Dick Irvin
1934-35,Montreal Maroons,Hooley Smith,Tommy Gorman,Toronto Maple Leafs,Hap Day,Dick Irvin
1933-34,Chicago Blackhawks,Charlie Gardiner,Tommy Gorman,Detroit Red Wings,Herbie Lewis,Jack Adams
1932-33,New York Rangers,Bill Cook,Lester Patrick,Toronto Maple Leafs,Hap Day,Dick Irvin
1931-32,Toronto Maple Leafs,Hap Day,Dick Irvin,New York Rangers,Bill Cook,Lester Patrick
1930-31,Montréal Canadiens,Sylvio Mantha,Cecil Hart,Chicago Blackhawks,Ty Arbour,Dick Irvin
1929-30,Montréal Canadiens,Sylvio Mantha,Cecil Hart,Boston Bruins,Lionel Hitchman,Art Ross
1928-29,Boston Bruins,Lionel Hitchman,Art Ross,New York Rangers,Bill Cook,Lester Patrick
1927-28,New York Rangers,Bill Cook,Lester Patrick,Montreal Maroons,Dunc Munro,Eddie Gerard
1926-27,Ottawa Senators (1917),George Boucher,Dave Gill,Boston Bruins,Sprague Cleghorn,Art Ross
1925-26,Montreal Maroons,Dunc Munro,Eddie Gerard,"Victoria Cougars
(WHL)",Clem Loughlin,Lester Patrick
1924-25,"Victoria Cougars
(WCHL)",Clem Loughlin,Lester Patrick,Montréal Canadiens,Sprague Cleghorn,Leo Dandurand
1923-24,Montréal Canadiens,Sprague Cleghorn,Leo Dandurand,"Calgary Tigers
(WCHL)",Eddie Oatman,Eddie Oatman
1922-23,Ottawa Senators (1917),Eddie Gerard,Pete Green,"Edmonton Eskimos
(WCHL)",Duke Keats,Ken McKenzie
1921-22,Toronto St. Patricks,Reg Noble,George O'Donoghue,"Vancouver Millionaires
(PCHA)",Lloyd Cook,Frank Patrick
1920-21,Ottawa Senators (1917),Eddie Gerard,Pete Green,"Vancouver Millionaires
(PCHA)",Lloyd Cook,Frank Patrick
1919-20,Ottawa Senators (1917),Eddie Gerard,Pete Green,"Seattle Metropolitans
(PCHA)",Bernie Morris,Pete Muldoon
1917-18,Toronto Arenas,Ken Randall,Dick Carroll,"Vancouver Millionaires
(PCHA)",No Captain,Frank Patrick
