SEASON,WINNER,POS,TEAM,RUNNER-UP,POS,TEAM,FINALIST,POS,TEAM
1975-76,Bryan Trottier,C,New York Islanders,Glenn Resch,G,New York Islanders,Dennis Maruk,C,California Golden Seals
1974-75,Eric Vail,L,Atlanta Flames,Pierre Larouche,C,Pittsburgh Penguins,Danny Gare,R,Buffalo Sabres
1973-74,Denis Potvin,D,New York Islanders,Tom Lysiak,C,Atlanta Flames,Borje Salming,D,Toronto Maple Leafs
1972-73,Steve Vickers,L,New York Rangers,Bill Barber,L,Philadelphia Flyers,,,
1971-72,Ken Dryden,G,Montreal Canadiens,Rick Martin,L,Buffalo Sabres,Marcel Dionne,C,Detroit Red Wings
1970-71,Gilbert Perreault,C,Buffalo Sabres,Jude Drouin,C,Minnesota North Stars,Gilles Villemure,G,New York Rangers
1969-70,Tony Esposito,G,Chicago Blackhawks,Bill Fairbairn,R,New York Rangers,Keith Magnuson,D,Chicago Blackhawks
1968-69,Danny Grant,L,Minnesota North Stars,Norm Ferguson,R,Oakland Seals,Brad Park,D,New York Rangers
1967-68,Derek Sanderson,C,Boston Bruins,Jacques Lemaire,C,Montreal Canadiens,Doug Favell,G,Philadelphia Flyers
1966-67,Bobby Orr,D,Boston Bruins,Ed Van Impe,D,Chicago Blackhawks,Brian Conacher,L,Toronto Maple Leafs
1965-66,Brit Selby,L,Toronto Maple Leafs,Bert Marshall,D,Detroit Red Wings,Gilles Marotte,D,Boston Bruins
1964-65,Roger Crozier,G,Detroit Red Wings,Ron Ellis,R,Toronto Maple Leafs,Denis DeJordy,G,Chicago Blackhawks
1963-64,Jacques Laperriere,D,Montreal Canadiens,John Ferguson,L,Montreal Canadiens,Terry Harper,D,Montreal Canadiens
1962-63,Kent Douglas,D,Toronto Maple Leafs,Doug Barkley,D,Detroit Red Wings,Wayne Hillman,D,Chicago Blackhawks
1961-62,Bobby Rousseau,R,Montreal Canadiens,Cliff Pennington,C,Boston Bruins,Pat Stapleton,D,Boston Bruins
1960-61,Dave Keon,C,Toronto Maple Leafs,Bob Nevin,R,Toronto Maple Leafs,Howie Glover,R,Detroit Red Wings
1959-60,Bill Hay,C,Chicago Blackhawks,Murray Oliver,C,Detroit Red Wings,Ken Schinkel,R,New York Rangers
1958-59,Ralph Backstrom,C,Montreal Canadiens,Carl Brewer,D,Toronto Maple Leafs,Ab McDonald,L,Montreal Canadiens
1957-58,Frank Mahovlich,L,Toronto Maple Leafs,Bobby Hull,L,Chicago Blackhawks,Phil Goyette,C,Montreal Canadiens
1956-57,Larry Regan,R,Boston Bruins,Ed Chadwick,G,Toronto Maple Leafs,Billy Dea,L,Detroit Red Wings
1955-56,Glenn Hall,G,Detroit Red Wings,Andy Hebenton,R,New York Rangers,Henri Richard,C,Montreal Canadiens
1954-55,Ed Litzenberger,C,Chicago Blackhawks,Don McKenney,C,Boston Bruins,Jacques Plante,G,Montreal Canadiens
1953-54,Camille Henry,C,New York Rangers,Dutch Reibel,C,Detroit Red Wings,,,
1952-53,Gump Worsley,G,New York Rangers,Gord Hannigan,C,Toronto Maple Leafs,Leo Boivin,D,Toronto Maple Leafs
1951-52,Bernie Geoffrion,R,Montreal Canadiens,Hy Buller,D,New York Rangers,Dickie Moore,L,Montreal Canadiens
1950-51,Terry Sawchuk,G,Detroit Red Wings,Al Rollins,G,Toronto Maple Leafs,Danny Lewicki,L,Toronto Maple Leafs
1949-50,Jack Gelineau,G,Boston Bruins,Phil Maloney,C,Boston Bruins,Bert Olmstead,L,Chicago Blackhawks
1948-49,Pentti Lund,R,New York Rangers,Allan Stanley,D,New York Rangers,Ray Timgren,L,Toronto Maple Leafs
1947-48,Jim McFadden,C,Detroit Red Wings,Pete Babando,L,Boston Bruins,Red Kelly,D,Detroit Red Wings
1946-47,Howie Meeker,R,Toronto Maple Leafs,Jim Conacher,C,Detroit Red Wings,Cal Gardner,C,New York Rangers
1945-46,Edgar Laprade,C,New York Rangers,George Gee,C,Chicago Blackhawks,,,
1944-45,Frank McCool,G,Toronto Maple Leafs,Ken Smith,L,Boston Bruins,Ted Lindsay,L,Detroit Red Wings
1943-44,Gus Bodnar,C,Toronto Maple Leafs,Bill Durnan,G,Montreal Canadiens,,,
1942-43,Gaye Stewart,L,Toronto Maple Leafs,Glen Harmon,D,Montreal Canadiens,,,
1941-42,Grant Warwick,R,New York Rangers,Buddy O'Connor,C,Montreal Canadiens,,,
1940-41,John Quilty,C,Montreal Canadiens,Johnny Mowers,G,Detroit Red Wings,,,
1939-40,Kilby MacDonald,L,New York Rangers,Wally Stanowski,D,Toronto Maple Leafs,,,
1938-39,Frank Brimsek,G,Boston Bruins,Roy Conacher,L,Boston Bruins,,,
1937-38,Cully Dahlstrom,C,Chicago Blackhawks,Murph Chamberlain,L,Toronto Maple Leafs,,,
1936-37,Syl Apps,C,Toronto Maple Leafs,Gordie Drillon,R,Toronto Maple Leafs,,,
1935-36,Mike Karakas,G,Chicago Blackhawks,Bucko McDonald,D,Detroit Red Wings,,,
1934-35,Sweeney Schriner,L,New York Americans,Bert Connelly,L,New York Rangers,,,
1933-34,Russ Blinco,C,Montreal Maroons,,,,,,
1932-33,Carl Voss,C,Detroit Red Wings,,,,,,
